agents,grid_width,grid_height,time_ms,path_length,distribution
1,10,10,0.056866,12,random
1,10,10,0.048601,9,random
1,10,10,0.055441,13,random
1,10,10,0.064579,11,random
1,10,10,0.023235,6,random
1,10,10,0.039295,11,random
1,10,10,0.00849,1,random
1,10,10,0.008397,1,random
1,10,10,0.029878,8,random
1,10,10,0.027822,8,random
1,10,10,0.017809,5,random
1,10,10,0.014167,4,random
1,10,10,0.017406,5,random
1,10,10,0.024074,7,random
1,10,10,0.040928,12,random
1,10,10,0.05688,15,random
1,10,10,0.034675,10,random
1,10,10,0.040768,12,random
1,10,10,0.007265,1,random
1,10,10,0.00704,1,random
1,10,10,0.007088,1,random
1,10,10,0.027844,1,random
1,10,10,0.007124,1,random
1,10,10,0.007119,1,random
1,10,10,0.007115,1,random
1,10,10,0.00716,1,random
1,10,10,0.007081,1,random
1,10,10,0.007303,1,random
1,10,10,0.007309,1,random
1,10,10,0.007007,1,random
1,10,10,0.00716,1,random
1,10,10,0.007084,1,random
1,10,10,0.007043,1,random
1,10,10,0.007025,1,random
1,10,10,0.007004,1,random
1,10,10,0.007091,1,random
1,10,10,0.007185,1,random
1,10,10,0.00697,1,random
1,10,10,0.007016,1,random
1,10,10,0.007039,1,random
1,10,10,0.007085,1,random
1,10,10,0.035501,9,random
1,10,10,0.032964,8,random
1,10,10,0.013313,3,random
1,10,10,0.023549,7,random
1,10,10,0.023856,6,random
1,10,10,0.021185,6,random
1,10,10,0.033778,10,random
1,10,10,0.027537,8,random
1,10,10,0.034673,10,random
1,10,10,0.01046,2,random
1,10,10,0.02996,9,random
1,10,10,0.024578,7,random
1,10,10,0.059725,13,random
1,10,10,0.039375,12,random
1,10,10,0.015926,4,random
1,10,10,0.014796,4,random
1,10,10,0.041895,12,random
1,10,10,0.010286,2,random
1,10,10,0.022261,6,random
1,10,10,0.033828,10,random
1,10,10,0.007222,1,random
1,10,10,0.007148,1,random
1,10,10,0.007278,1,random
1,10,10,0.007183,1,random
1,10,10,0.007178,1,random
1,10,10,0.007121,1,random
1,10,10,0.0071,1,random
1,10,10,0.007168,1,random
1,10,10,0.007174,1,random
1,10,10,0.007151,1,random
1,10,10,0.007178,1,random
1,10,10,0.007092,1,random
1,10,10,0.007191,1,random
1,10,10,0.007157,1,random
1,10,10,0.016892,1,random
1,10,10,0.007197,1,random
1,10,10,0.00727,1,random
1,10,10,0.007163,1,random
1,10,10,0.007203,1,random
1,10,10,0.007222,1,random
1,10,10,0.00712,1,random
1,10,10,0.007133,1,random
1,10,10,0.007141,1,random
1,10,10,0.00721,1,random
1,10,10,0.007097,1,random
1,10,10,0.007112,1,random
1,10,10,0.007164,1,random
1,10,10,0.007092,1,random
1,10,10,0.007238,1,random
1,10,10,0.007165,1,random
1,10,10,0.007195,1,random
1,10,10,0.007283,1,random
1,10,10,0.00715,1,random
1,10,10,0.007158,1,random
1,10,10,0.007161,1,random
1,10,10,0.007177,1,random
1,10,10,0.007119,1,random
1,10,10,0.007151,1,random
1,10,10,0.007185,1,random
1,10,10,0.007158,1,random
1,10,10,0.007082,1,random
1,10,10,0.007138,1,random
1,10,10,0.007137,1,random
1,10,10,0.007179,1,random
1,10,10,0.007143,1,random
1,10,10,0.007212,1,random
1,10,10,0.007197,1,random
1,10,10,0.007155,1,random
1,10,10,0.007076,1,random
1,10,10,0.007113,1,random
1,10,10,0.007061,1,random
1,10,10,0.007127,1,random
1,10,10,0.007203,1,random
1,10,10,0.00723,1,random
1,10,10,0.007205,1,random
1,10,10,0.007194,1,random
1,10,10,0.007123,1,random
1,10,10,0.007283,1,random
1,10,10,0.007013,1,random
1,10,10,0.007234,1,random
1,10,10,0.007214,1,random
1,10,10,0.007045,1,random
1,10,10,0.007088,1,random
1,10,10,0.007158,1,random
1,10,10,0.007392,1,random
1,10,10,0.007111,1,random
1,10,10,0.007101,1,random
1,10,10,0.007102,1,random
1,10,10,0.007049,1,random
1,10,10,0.007083,1,random
1,10,10,0.007181,1,random
1,10,10,0.007293,1,random
1,10,10,0.007154,1,random
1,20,20,0.055788,10,random
1,20,20,0.065973,12,random
1,20,20,0.091073,17,random
